Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SEVENTY SAINT PATRICK'S,"2,580,000","1,216.33","2,121",Feb-23,ST. PATRICK'S ROAD,Resale,Strata,113,"22,832",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
NEPTUNE COURT,"1,800,000","1,636.13","1,100",Feb-23,MARINE VISTA,Resale,Strata,152,"11,842",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
VILLA MARINA,"1,668,000","1,280.92","1,302",Feb-23,JALAN SEMPADAN,Resale,Strata,119,"14,017",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE ESTA,"2,208,000","1,001.05","2,206",Feb-23,AMBER GARDENS,Resale,Strata,93,"23,742",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SUITES @ EASTCOAST,"946,000",570.49,"1,658",Feb-23,UPPER EAST COAST ROAD,Resale,Strata,53,"17,849",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
HAIG 162,"628,000",365.98,"1,716",Feb-23,HAIG ROAD,Resale,Strata,34,"18,471",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE ESTA,"2,300,000","1,130.22","2,035",Feb-23,AMBER GARDENS,Resale,Strata,105,"21,905",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
PEBBLE BAY,"3,450,000","1,894.46","1,821",Feb-23,TANJONG RHU ROAD,Resale,Strata,176,"19,602",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
EASTCOVE RESIDENCES,"1,310,000","1,065.64","1,229",Feb-23,JOO CHIAT PLACE,Resale,Strata,99,"13,232",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"1,488,000",839.59,"1,772",Feb-23,SIGLAP ROAD,Resale,Strata,78,"19,077",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
STUDIOS@TEMBELING,"1,133,000",785.77,"1,442",Feb-23,TEMBELING ROAD,Resale,Strata,73,"15,521",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"688,000",365.98,"1,880",Feb-23,HAIG ROAD,Resale,Strata,34,"20,235",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
IMPERIAL HEIGHTS,"880,000",581.26,"1,514",Jan-23,IPOH LANE,Resale,Strata,54,"16,296",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BUTTERWORTH 8,"2,330,000","1,313.21","1,774",Jan-23,BUTTERWORTH LANE,Resale,Strata,122,"19,098",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE SERENNO,"1,280,000",775.01,"1,652",Jan-23,HAIG ROAD,Resale,Strata,72,"17,778",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"1,960,000","1,227.1","1,597",Jan-23,TANJONG RHU ROAD,Resale,Strata,114,"17,193",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
IVORY,"1,168,000",871.88,"1,340",Jan-23,CEYLON LANE,Resale,Strata,81,"14,420",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EVERITT EDGE,"880,000",645.84,"1,363",Jan-23,JOO CHIAT PLACE,Resale,Strata,60,"14,667",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"1,820,000","1,280.92","1,421",Jan-23,TANJONG RHU ROAD,Resale,Strata,119,"15,294",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"1,960,000","1,528.49","1,282",Jan-23,SIGLAP ROAD,Resale,Strata,142,"13,803",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
THE BELVEDERE,"3,000,000","1,377.79","2,177",Jan-23,MEYER ROAD,Resale,Strata,128,"23,438",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE MONTAGE,"1,860,000","1,248.62","1,490",Jan-23,LORONG M TELOK KURAU,Resale,Strata,116,"16,034",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
AALTO,"3,500,000","1,442.38","2,427",Jan-23,MEYER ROAD,Resale,Strata,134,"26,119",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE SEAFRONT ON MEYER,"3,700,000","1,980.58","1,868",Jan-23,MEYER ROAD,Resale,Strata,184,"20,109",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
NEPTUNE COURT,"1,780,000","1,636.13","1,088",Jan-23,MARINE VISTA,Resale,Strata,152,"11,711",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,06 to 10
JOO CHIAT MANSIONS,"2,440,000","1,808.35","1,349",Jan-23,JOO CHIAT PLACE,Resale,Strata,168,"14,524",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,450,000","1,065.64","1,361",Jan-23,TANJONG KATONG ROAD,Resale,Strata,99,"14,646",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,780,000","1,184.04","2,348",Jan-23,TANJONG RHU ROAD,Resale,Strata,110,"25,273",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
LEGENDA AT JOO CHIAT,"1,640,000","1,237.86","1,325",Jan-23,JOO CHIAT LANE,Resale,Strata,115,"14,261",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
AMBER 45,"3,100,000","1,184.04","2,618",Jan-23,AMBER ROAD,Resale,Strata,110,"28,182",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
NEPTUNE COURT,"1,300,000","1,270.15","1,023",Jan-23,MARINE VISTA,Resale,Strata,118,"11,017",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05
SUNSHINE GRANDEUR,"2,100,000","1,733","1,212",Jan-23,LORONG K TELOK KURAU,Resale,Strata,161,"13,043",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE WATERSIDE,"4,180,000","2,411.14","1,734",Jan-23,TANJONG RHU ROAD,Resale,Strata,224,"18,661",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
LAGUNA PARK,"1,800,000","1,453.14","1,239",Jan-23,MARINE PARADE ROAD,Resale,Strata,135,"13,333",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,11 to 15
THE SOUND,"1,580,000",839.59,"1,882",Jan-23,EAST COAST ROAD,Resale,Strata,78,"20,256",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
LAGUNA PARK,"1,650,000","1,453.14","1,135",Jan-23,MARINE PARADE ROAD,Resale,Strata,135,"12,222",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
WATER PLACE,"1,970,000","1,227.1","1,605",Jan-23,TANJONG RHU ROAD,Resale,Strata,114,"17,281",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
8M RESIDENCES,"1,600,000",775.01,"2,064",Jan-23,MARGATE ROAD,Resale,Strata,72,"22,222",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE SHORE RESIDENCES,"2,610,000","1,377.79","1,894",Jan-23,AMBER ROAD,Resale,Strata,128,"20,391",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,11 to 15
MODA,"1,400,000",645.84,"2,168",Jan-23,EAST COAST ROAD,Resale,Strata,60,"23,333",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
WATER PLACE,"1,935,888","1,216.33","1,592",Jan-23,TANJONG RHU ROAD,Resale,Strata,113,"17,132",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
EIS RESIDENCES,"900,000",914.94,984,Jan-23,HAIG AVENUE,Resale,Strata,85,"10,588",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
STRAITS RESIDENCES,"820,000",505.91,"1,621",Jan-23,JOO CHIAT PLACE,Resale,Strata,47,"17,447",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE SEA VIEW,"3,200,000","1,410.08","2,269",Jan-23,AMBER ROAD,Resale,Strata,131,"24,427",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
AMBER SKYE,"2,580,000","1,119.46","2,305",Jan-23,AMBER ROAD,Resale,Strata,104,"24,808",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MANDARIN GARDENS,"1,130,000",828.83,"1,363",Jan-23,SIGLAP ROAD,Resale,Strata,77,"14,675",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,21 to 25
CASUARINA COVE,"2,060,000","1,463.9","1,407",Jan-23,TANJONG RHU ROAD,Resale,Strata,136,"15,147",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
STILL MANSIONS,"1,470,000","1,108.69","1,326",Jan-23,STILL ROAD,Resale,Strata,103,"14,272",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
BUTTERWORTH 8,"2,150,000","1,313.21","1,637",Jan-23,BUTTERWORTH LANE,Resale,Strata,122,"17,623",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
ESPIRA RESIDENCE,"1,280,000","1,140.98","1,122",Jan-23,LORONG K TELOK KURAU,Resale,Strata,106,"12,075",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
VILLA MARINA,"1,475,000","1,087.16","1,357",Jan-23,JALAN SEMPADAN,Resale,Strata,101,"14,604",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
MEYERHOUSE,"7,552,000","2,820.17","2,678",Dec-22,MEYER ROAD,Resale,Strata,262,"28,824",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
MADEIRA COURT,"1,480,000",990.29,"1,495",Dec-22,LORONG M TELOK KURAU,Resale,Strata,92,"16,087",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ONE AMBER,"3,650,000","1,700.71","2,146",Dec-22,AMBER GARDENS,Resale,Strata,158,"23,101",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
LAGOON VIEW,"1,900,000","1,646.89","1,154",Dec-22,MARINE PARADE ROAD,Resale,Strata,153,"12,418",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
FORT GARDENS,"1,200,000",958,"1,253",Dec-22,FORT ROAD,Resale,Strata,89,"13,483",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,320,000","1,270.15","1,039",Dec-22,MARINE VISTA,Resale,Strata,118,"11,186",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05
COASTARINA,"2,150,000","1,388.56","1,548",Dec-22,EAST COAST ROAD,Resale,Strata,129,"16,667",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MAYA,"1,288,000",979.52,"1,315",Dec-22,STILL ROAD,Resale,Strata,91,"14,154",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TAIPAN REGENCY,"1,480,000","1,162.51","1,273",Dec-22,HAIG ROAD,Resale,Strata,108,"13,704",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE SEAFRONT ON MEYER,"3,050,000","1,603.84","1,902",Dec-22,MEYER ROAD,Resale,Strata,149,"20,470",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
QUESTA @ DUNMAN,"1,351,000",807.3,"1,673",Dec-22,DUNMAN ROAD,Resale,Strata,75,"18,013",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"1,420,000",839.59,"1,691",Dec-22,SIGLAP ROAD,Resale,Strata,78,"18,205",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
AURA 83,"815,000",484.38,"1,683",Dec-22,DUKU ROAD,Resale,Strata,45,"18,111",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SERAYA COURT,"2,080,000","1,829.88","1,137",Dec-22,SERAYA LANE,Resale,Strata,170,"12,235",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
GOODWILL COURT,"2,900,000","2,497.25","1,161",Dec-22,UPPER EAST COAST ROAD,Resale,Strata,232,"12,500",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
DUNMAN PLACE,"2,148,000","1,442.38","1,489",Dec-22,DUNMAN ROAD,Resale,Strata,134,"16,030",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGUNA PARK,"1,650,000","1,614.6","1,022",Dec-22,MARINE PARADE ROAD,Resale,Strata,150,"11,000",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,960,000","1,528.49","1,282",Dec-22,SIGLAP ROAD,Resale,Strata,142,"13,803",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
MELROSE VILLE,"780,000",516.67,"1,510",Dec-22,ROSE LANE,Resale,Strata,48,"16,250",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"1,330,000",785.77,"1,693",Dec-22,TANJONG RHU ROAD,Resale,Strata,73,"18,219",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
SUITES @ GUILLEMARD,"775,000",462.85,"1,674",Dec-22,LIM AH WOO ROAD,Resale,Strata,43,"18,023",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SEASIDE RESIDENCES,"1,980,000",764.24,"2,591",Dec-22,SIGLAP LINK,Resale,Strata,71,"27,887",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
THE MAKENA,"2,100,000","1,151.75","1,823",Dec-22,MEYER ROAD,Resale,Strata,107,"19,626",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
PALMERA RESIDENCE,"2,098,000","1,937.52","1,083",Dec-22,LORONG N TELOK KURAU,Resale,Strata,180,"11,656",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,950,000","1,442.38","1,352",Dec-22,JOO CHIAT PLACE,Resale,Strata,134,"14,552",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PEBBLE BAY,"3,720,000","2,174.33","1,711",Dec-22,TANJONG RHU ROAD,Resale,Strata,202,"18,416",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
IMPERIAL HEIGHTS,"1,130,000",775.01,"1,458",Dec-22,IPOH LANE,Resale,Strata,72,"15,694",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"1,900,000","1,216.33","1,562",Dec-22,TANJONG RHU ROAD,Resale,Strata,113,"16,814",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
SUITES@ KATONG,"1,102,000",807.3,"1,365",Dec-22,TANJONG KATONG ROAD,Resale,Strata,75,"14,693",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
UNITED MANSION,"1,950,000","1,237.86","1,575",Dec-22,EAST COAST ROAD,Resale,Strata,115,"16,957",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PEBBLE BAY,"3,900,000","2,335.79","1,670",Dec-22,TANJONG RHU ROAD,Resale,Strata,217,"17,972",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
JUPITER 18,"1,300,000","1,108.69","1,173",Dec-22,LORONG 102 CHANGI,Resale,Strata,103,"12,621",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RIVEREDGE,"2,680,000","1,593.07","1,682",Dec-22,SAMPAN PLACE,Resale,Strata,148,"18,108",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,11 to 15
PARK EAST,"2,650,000","1,689.95","1,568",Dec-22,JALAN TUA KONG,Resale,Strata,157,"16,879",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MOUNTBATTEN SUITES,"715,000",484.38,"1,476",Dec-22,MOUNTBATTEN ROAD,Resale,Strata,45,"15,889",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"2,035,000","1,356.26","1,500",Dec-22,TANJONG RHU ROAD,Resale,Strata,126,"16,151",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
ONE AMBER,"2,680,000","1,259.39","2,128",Dec-22,AMBER GARDENS,Resale,Strata,117,"22,906",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SPRINGVALE,"1,480,000","1,108.69","1,335",Dec-22,EAST COAST ROAD,Resale,Strata,103,"14,369",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
VILLA MARINA,"1,690,000","1,280.92","1,319",Dec-22,JALAN SEMPADAN,Resale,Strata,119,"14,202",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
EASTSIDE LOFT,"2,100,000","1,388.56","1,512",Dec-22,TANJONG KATONG ROAD,Resale,Strata,129,"16,279",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
38 I SUITES,"860,000",484.38,"1,775",Dec-22,IPOH LANE,Resale,Strata,45,"19,111",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
LAGUNA PARK,"1,838,000","1,614.6","1,138",Dec-22,MARINE PARADE ROAD,Resale,Strata,150,"12,253",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
AMBER RESIDENCES,"2,570,000","1,248.62","2,058",Dec-22,AMBER ROAD,Resale,Strata,116,"22,155",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
CRESCENDO BUILDING,"1,570,000","1,302.44","1,205",Dec-22,UPPER EAST COAST ROAD,Resale,Strata,121,"12,975",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,960,000","1,571.54","1,247",Dec-22,SIGLAP ROAD,Resale,Strata,146,"13,425",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
MALVERN SPRINGS,"2,000,000","2,077.45",963,Dec-22,ONAN ROAD,Resale,Strata,193,"10,363",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
TAIPAN REGENCY,"1,500,000","1,194.8","1,255",Dec-22,HAIG ROAD,Resale,Strata,111,"13,514",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
DE CENTURION,"1,420,000",775.01,"1,832",Dec-22,TANJONG RHU ROAD,Resale,Strata,72,"19,722",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
TANJONG RIA CONDOMINIUM,"1,240,000",925.7,"1,340",Dec-22,TANJONG RHU ROAD,Resale,Strata,86,"14,419",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
JUPITER 18,"1,080,000",796.54,"1,356",Dec-22,LORONG 102 CHANGI,Resale,Strata,74,"14,595",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE ODEON KATONG,"888,888",581.26,"1,529",Dec-22,EAST COAST ROAD,Resale,Strata,54,"16,461",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
PARK EAST,"2,650,000","1,722.24","1,539",Dec-22,JALAN TUA KONG,Resale,Strata,160,"16,563",-,Condominium,1,Freehold,15,Outside Central Region,06 to 10
WATER PLACE,"1,938,000","1,227.1","1,579",Dec-22,TANJONG RHU ROAD,Resale,Strata,114,"17,000",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"1,496,888",861.12,"1,738",Dec-22,SIGLAP ROAD,Resale,Strata,80,"18,711",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE SOUND,"1,790,000","1,022.58","1,750",Dec-22,EAST COAST ROAD,Resale,Strata,95,"18,842",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
RIVEREDGE,"2,380,000","1,453.14","1,638",Dec-22,SAMPAN PLACE,Resale,Strata,135,"17,630",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,06 to 10
PARK COURT,"1,230,000",990.29,"1,242",Dec-22,LORONG 101 CHANGI,Resale,Strata,92,"13,370",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"615,000",355.21,"1,731",Nov-22,HAIG ROAD,Resale,Strata,33,"18,636",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE MAKENA,"2,735,000","1,517.72","1,802",Nov-22,MEYER ROAD,Resale,Strata,141,"19,397",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
VERANDA,"1,880,000","1,280.92","1,468",Nov-22,LORONG K TELOK KURAU,Resale,Strata,119,"15,798",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MARTIA RESIDENCE,"2,300,000","2,206.62","1,042",Nov-22,MARTIA ROAD,Resale,Strata,205,"11,220",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
EASTERN LAGOON,"2,220,000","1,377.79","1,611",Nov-22,UPPER EAST COAST ROAD,Resale,Strata,128,"17,344",-,Condominium,1,Freehold,15,Outside Central Region,11 to 15
FULCRUM,"1,030,151",473.62,"2,175",Nov-22,FORT ROAD,Resale,Strata,44,"23,413",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
H RESIDENCES,"770,000",548.96,"1,403",Nov-22,LORONG H TELOK KURAU,Resale,Strata,51,"15,098",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
EMPRADO SUITES,"902,000",581.26,"1,552",Nov-22,LORONG N TELOK KURAU,Resale,Strata,54,"16,704",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
STILLZ RESIDENCE,"1,830,000","1,711.48","1,069",Nov-22,LORONG 108 CHANGI,Resale,Strata,159,"11,509",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FLAMINGO VALLEY,"865,000",516.67,"1,674",Nov-22,SIGLAP ROAD,Resale,Strata,48,"18,021",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,780,000",785.77,"2,265",Nov-22,SIGLAP LINK,Resale,Strata,73,"24,384",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
THE ESTA,"3,075,000","1,506.96","2,041",Nov-22,AMBER GARDENS,Resale,Strata,140,"21,964",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
COTE D'AZUR,"1,880,000","1,108.69","1,696",Nov-22,MARINE PARADE ROAD,Resale,Strata,103,"18,252",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
NEPTUNE COURT,"1,690,000","1,636.13","1,033",Nov-22,MARINE VISTA,Resale,Strata,152,"11,118",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
SPRING @ KATONG,"1,800,000","1,022.58","1,760",Nov-22,CEYLON ROAD,Resale,Strata,95,"18,947",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SILVERSEA,"3,800,000","1,679.18","2,263",Nov-22,MARINE PARADE ROAD,Resale,Strata,156,"24,359",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
THE WATERSIDE,"4,300,000","2,400.37","1,791",Nov-22,TANJONG RHU ROAD,Resale,Strata,223,"19,283",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
PARADISE PALMS,"2,075,000","1,151.75","1,802",Nov-22,DUNMAN ROAD,Resale,Strata,107,"19,393",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
COSTA RHU,"3,188,000","1,969.81","1,618",Nov-22,RHU CROSS,Resale,Strata,183,"17,421",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
CAMELODGE,"2,128,800","1,851.41","1,150",Nov-22,UPPER EAST COAST ROAD,Resale,Strata,172,"12,377",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
STILL 123,"1,800,000","1,280.92","1,405",Nov-22,LANGSAT ROAD,Resale,Strata,119,"15,126",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,280,000","1,044.11","1,226",Nov-22,EAST COAST ROAD,Resale,Strata,97,"13,196",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
BELLEZZA @ KATONG,"1,300,000",861.12,"1,510",Nov-22,CEYLON ROAD,Resale,Strata,80,"16,250",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MODA,"2,100,000",979.52,"2,144",Nov-22,EAST COAST ROAD,Resale,Strata,91,"23,077",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
SERAYA 9,"1,215,000",796.54,"1,525",Nov-22,SERAYA LANE,Resale,Strata,74,"16,419",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MEYERHOUSE,"8,355,000","3,239.96","2,579",Nov-22,MEYER ROAD,Resale,Strata,301,"27,757",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
SEAVIEW POINT,"2,280,000","1,388.56","1,642",Nov-22,AMBER ROAD,Resale,Strata,129,"17,674",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ESTERINA,"760,000",516.67,"1,471",Nov-22,HAIG AVENUE,Resale,Strata,48,"15,833",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE EIGHTIES RESIDENCES,"1,500,000",828.83,"1,810",Nov-22,JOO CHIAT TERRACE,Resale,Strata,77,"19,481",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ST PATRICK'S RESIDENCES,"2,580,000","1,517.72","1,700",Nov-22,ST. PATRICK'S ROAD,Resale,Strata,141,"18,298",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
NEPTUNE COURT,"1,150,000","1,270.15",905,Nov-22,MARINE VISTA,Resale,Strata,118,"9,746",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05
PEBBLE BAY,"3,620,000","2,335.79","1,550",Nov-22,TANJONG RHU ROAD,Resale,Strata,217,"16,682",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,650,000","1,636.13","1,008",Nov-22,MARINE VISTA,Resale,Strata,152,"10,855",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,06 to 10
PARC ELEGANCE,"728,000",473.62,"1,537",Nov-22,TELOK KURAU ROAD,Resale,Strata,44,"16,545",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PALM OASIS,"1,480,000","1,420.85","1,042",Nov-22,LORONG H TELOK KURAU,Resale,Strata,132,"11,212",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LEGENDA AT JOO CHIAT,"1,638,000","1,216.33","1,347",Nov-22,JOO CHIAT LANE,Resale,Strata,113,"14,496",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
MEYERHOUSE,"5,238,090","1,872.94","2,797",Nov-22,MEYER ROAD,Resale,Strata,174,"30,104",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
COSTA RHU,"1,940,000","1,399.32","1,386",Nov-22,RHU CROSS,Resale,Strata,130,"14,923",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
TIVOLI GRANDE,"1,255,000",796.54,"1,576",Nov-22,KOON SENG ROAD,Resale,Strata,74,"16,959",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RIVEREDGE,"2,430,000","1,517.72","1,601",Nov-22,SAMPAN PLACE,Resale,Strata,141,"17,234",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,06 to 10
AALTO,"4,330,000","1,959.05","2,210",Nov-22,MEYER ROAD,Resale,Strata,182,"23,791",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
